name,altitude_agl,angular_vel_z,compass_hdg,yaw,angular_vel_y,angular_vel_x,pitch,linear_vel_x,altitude_amsl,altitude_relative,battery_volts,ros_time,linear_vel_z,linear_vel_y,longitude,latitude,roll
28point,null	,0.00032528443261980994	,194.81	,-104.80609658320381	,0.0011120851850137115	,0.005208650603890419	,0.337732764096019	,0.0392266	,0.08998356759548187	,42.976	,12.192999839782715	,1579810126	,9.83606995	,0.009806650000001204	,-3.0064979	,51.709747	,-0.3503690676277906	
29point,null	,0.000915745971724391	,194.82	,-104.81703854625417	,-5.822256207466114e-05	,0.0016242933925241232	,0.3382096500383034	,-0.0196133	,0.08998356759548187	,45.47	,12.192999839782715	,1579810127	,9.85568325	,-0.019613299999998793	,-3.0064979	,51.709747	,-0.28736887014704754	
30point,null	,0.0008688583038747306	,194.82	,-104.80975756459891	,0.003324955003336072	,-0.007281570229679346	,0.36495501664163377	,0.00980665	,0.08998356759548187	,47.795	,12.192999839782715	,1579810128	,9.12999115	,0.04903325000000112	,-3.0064979	,51.709747	,-0.2974763228190497	
31point,null	,-0.00018571317195891746	,194.81	,-104.78163084559682	,-0.04802250862121582	,-0.19378623366355896	,-0.6309329616078136	,0.0	,0.08998356759548187	,49.246	,12.241999626159668	,1579810129	,8.629852	,0.02941995000000106	,-3.0064979	,51.709747	,-4.143725078398174	
32point,null	,-0.0009862137958407393	,194.84	,-104.83724224581907	,-0.007930048741400242	,-0.024286216124892235	,-1.8112383152838534	,0.10787315	,0.08998356759548187	,49.73	,12.241999626159668	,1579810130	,9.42419065	,-0.39226599999999884	,-3.0064956	,51.709747	,-8.514032291001413	
33point,null	,1.2702646255493164	,174.51	,-84.51727555840371	,0.05682072788476959	,-0.03920360282063484	,-1.5710607962575855	,0.20593965	,0.08998356759548187	,49.865	,12.241999626159668	,1579810131	,9.7085835	,-0.9806649999999988	,-3.0064819	,51.709747	,-12.010523094120476	
34point,null	,0.9737213850021362	,112.28	,-5.949254365910186	,0.0446528270840646	,-0.025376945734024048	,15.711248506253959	,-1.4317709	,0.08998356759548187	,49.922	,12.192999839782715	,1579810132	,9.7478101	,-0.6570455499999988	,-3.0064558	,51.7097482	,0.3635653933106437	
35point,null	,-0.39569932222366333	,83.86	,0.2553782685886091	,0.10399124771356578	,-0.1925278902053833	,19.1397200167498	,-2.1378497	,0.08998356759548187	,49.943	,12.192999839782715	,1579810133	,9.62032365	,0.4020726500000012	,-3.0064158	,51.7097483	,0.009531642378559878	
36point,null	,-0.05461839586496353	,94.86	,-4.831630512021015	,-0.012430804781615741	,0.10517583787441254	,11.197161115866905	,-2.6085689	,0.08998356759548187	,49.961	,12.241999626159668	,1579810134	,9.48303055	,-0.07845319999999885	,-3.0063619	,51.7097459	,4.2453984206093285	
37point,null	,-0.5745171308517456	,108.58	,-26.41562934590826	,-0.06640898436307914	,0.17103879153728485	,7.88811290168779	,-2.14765635	,0.08998356759548187	,49.969	,12.241999626159668	,1579810135	,9.6497436	,-0.1667130499999988	,-3.0063057	,51.7097429	,6.2814675669063815	
38point,null	,-0.7150412201881409	,147.39	,-68.410378099193	,0.0673702657222747	,-0.00894242338836193	,12.959447251925864	,-1.6867438	,0.08998356759548187	,49.964	,12.241999626159668	,1579810136	,9.8654899	,-0.43149259999999884	,-3.0062631	,51.7097331	,5.895658355222688	
39point,null	,-0.07574843615293503	,174.82	,-84.82701097688543	,0.04550515860319137	,0.015834275633096695	,16.487497797878614	,-1.7455837	,0.08998356759548187	,49.956	,12.192999839782715	,1579810137	,9.73800345	,-0.49033249999999884	,-3.0062406	,51.7097133	,1.418248120183244	
40point,null	,-0.10892629623413082	,175.98	,-85.98013815408038	,-0.33779940009117126	,0.201833114027977	,15.739650140370172	,-2.36340265	,0.08998356759548187	,49.947	,12.192999839782715	,1579810138	,9.6497436	,-0.10787314999999882	,-3.0062306	,51.7096839	,3.260180131658374	
41point,null	,-0.42959359288215637	,195.84	,-112.28061847875888	,0.010169144719839044	,0.0965346246957779	,13.805493392905241	,-2.36340265	,0.08998356759548187	,49.952	,12.192999839782715	,1579810139	,9.6301303	,-0.27458619999999884	,-3.0062303	,51.7096492	,4.9336027318511215	
